,Company,City,Started_in,Founders,Industries,Number_of_employees,Funding_amount,Number_of_funding_rounds,Number_of_investors
36,GetYourGuide, Berlin, 2009," Johannes Reck, Martin Sieber, Tao Tao, Tobias Rein"," Consumer Reviews, E-Commerce, Hospitality, Recreation, Tourism, Travel", 501-1000," $886,168,933", 12, 35
37,TWAICE, Munich, 2018," Michael Baumann, Stephan Rohr"," Artificial Intelligence, Battery, Information Technology, Predictive Analytics, Software", 51-100," € 35,500,000", 4, 6
38,Isar, Munich, 2018," Daniel Metzler, Josef Fleischmann, Markus Brandl"," Aerospace, Information Technology, Space Travel", 101-250," $176,718,945", 3, 11
39,hundred, Berlin, , , , 11-50," $8,000,000", , 
40,HomeToGo, Berlin, 2014," Nils Regge, Patrick Andrae, Wolfgang Heigl"," Travel, Vacation Rental", 251-500," $176,652,718", 5, 7
41,Personio, München, 2015," Arseniy Vershinin, Hanno Renner, Ignaz Forstmeier, Roman Schumacher"," Employment, Human Resources, Recruiting, SaaS", 501-1000," $254,332,944", 5, 17
42,QUIN, Berlin, , , , 11-50," $1,228,399", , 
43,Volocopter, Bruchsal, 2011," Alexander Zosel, Stephan Wolf"," Aerospace, Air Transportation, Drones, Robotics, Transportation", 251-500," € 369,200,000", 6, 20
44,Holidu, Munich, 2014," Johannes Siebers, Michael Siebers, Rasmus Porsgaard"," Search Engine, Travel, Vacation Rental", 101-250," $100,363,206", 6, 12
45,Avi, Munich, 2020," Christoph Baumeister, Julian Kley, Vlad Lata"," Health Care, Medical, mHealth, Personal Health", 11-50," € 38,500,000", 3, 8
46,Grover, Berlin, 2015, Michael Cassau," Consumer Electronics, PaaS, Rental, Sharing Economy, Subscription Service", 101-250," € 342,000,000", 11, 19
47,Raccoon.World, Berlin, , , , 11-50," $2,460,425", , 
48,Cognigy, Düsseldorf, 2016," Benjamin Mayr, Philipp Heltewig, Sascha Poggemann"," Artificial Intelligence, Customer Service, Digital Marketing, Information and Communications Technology (ICT), Information Technology, Machine Learning, Natural Language Processing, Sales Automation, Virtual Assistant", 51-100," € 44,900,000", 6, 6
49,commercetools, München, 2006," Denis Werner, Dirk Hoerig"," Cloud Computing, E-Commerce, Information Technology, SaaS, Software", 251-500," $167,674,186", 5, 7
50,Lumenaza, Berlin, 2013," Bernhard Bohmer, Christian Chudoba"," Clean Energy, Energy Management, Green Consumer Goods, GreenTech, Information Technology, Local, Peer to Peer, Renewable Energy, Software", 11-50," € 10,300,000", 4, 6
51,Enpal, Berlin, 2017," Jochen Ziervogel, Mario Kohle, Viktor Wingert"," Energy, Environmental Consulting, Renewable Energy, Solar", 251-500," € 10,000,000", 7, 9
52,Zeotap, Berlin, 2014," Daniel Heer, Projjol Banerjea, Stephan Schwebe"," Analytics, Digital Marketing, Marketing, SaaS", 101-250," $81,200,000", 5, 26
53,airfocus, Hamburg, 2017," Christian Hoffmeister, Malte Scholz, Valentin Firak"," Product Management, SaaS, Software", 11-50," $7,387,435", 3, 3
54,Morressier, Berlin, 2014," Justus Weweler, Rino Montiel, Sami Benchekroun"," Analytics, Event Management, Events, Information Technology, Market Research, Meeting Software, Software, Video Conferencing", 11-50," $24,200,000", 3, 6
55,Bunch, Berlin, , , , 11-50," $7,850,000", , 
56,Alasco, Munich, , , , 11-50," $8,456,135", , 
57,Zalando, Berlin, , , , 10001," $615,854,262", , 
58,SimScale, Munich, 2012," Alexander Fischer, Anatol Dammer, David Heiny, Johannes Probst, Vincenz Dölle"," 3D Technology, CAD, Cloud Computing, Internet, Product Design, Simulation, Software", 101-250," € 52,000,000", 6, 9
59,Choco, Berlin, 2018," Daniel Khachab, Julian Hammer, Rogério Da Silva Yokomizo"," Delivery Service, Food and Beverage, Food Delivery, Marketing, Restaurants, Supply Chain Management", 251-500," $63,700,000", 4, 8
60,AUTO1, Berlin, 2012," Christian Bertermann, Hakan Koc"," Automotive, Internet, Marketplace", 1001-5000," $1,387,053,390", 10, 23
61,Billie, Berlin, , , , 11-50," $49,098,706", , 
62,Finoa, Berlin, 2018," Christopher May, Henrik Gebbing"," Banking, Blockchain, Cryptocurrency, Financial Services, FinTech", 11-50," € 20,800,000", 2, 4
63,sevDesk, Offenburg, 2013," Fabian Silberer, Marco Reinbold"," Accounting, Cloud Computing, FinTech, Information Technology, SaaS, Small and Medium Businesses, Software", 101-250," € 64,200,000", 3, 7
64,Signavio, Berlin, 2009," Gero Decker, Mathias Weske, Nicolas Peters, Torben Schreiter, Willi Tscheschner"," Business Development, Computer, SaaS, Software", 251-500," $229,569,948", 3, 3
65,Babbel, Berlin, 2007," Lorenz Heine, Markus Witte, Thomas Holl"," E-Learning, EdTech, Language Learning", 501-1000," $33,300,000", 4, 8
66,Silexica, Cologne, 2014," Johannes Emigholz, Maximilian Odendahl, Weihua Sheng"," Application Specific Integrated Circuit (ASIC), Developer Tools, Embedded Software, Embedded Systems, Enterprise Software, Field-Programmable Gate Array (FPGA), Software", 51-100," $29,360,037", 4, 6
67,Raisin, Berlin, 2012," Frank Freund, Michael Stephan, Tamaz Georgadze"," Banking, Finance, Financial Services, FinTech, Marketplace", 251-500," $206,007,634", 7, 15
68,IDnow, Munich, 2014," Armin Bauer, Dennis von Ferenczy, Felix Haas, Sebastian Baerhold"," Cloud Data Services, Identity Management, Information Technology, Internet, Legal, Machine Learning, Real Time, Security", 101-250," $58,163,544", 7, 9
69,Pricefx, Pfaffenhofen An Der Glonn, 2011," Christian Tratz, Marcin Cichon, Martin Wricke"," E-Commerce, Enterprise Applications, Enterprise Software, Information Technology, SaaS, Software", 251-500," $131,274,376", 7, 7
70,BRYTER, Berlin, 2018, Michael Grupp," Compliance, Enterprise Software, Industrial Automation, Legal Tech, SaaS, Software", 101-250," $89,000,000", 4, 6
71,Arabesque, Frankfurt, 2017," Andreas Feiner, Dominic Selwood, Hans-Robert Arndt, Omar Selim"," Big Data, Data Center, Data Integration, Data Visualization, Database, Financial Services, Information Services, Software, Sustainability", 51-100," $20,000,000", 2, 6
72,Camunda, Berlin, 2008," Bernd Ruecker, Jakob Freund"," Enterprise Software, Information Technology, SaaS, Software", 251-500," € 107,000,000", 2, 2
73,AUTO1-Group, Berlin, , , , 1001-5000," $1,084,314,852", , 
74,tado°, Munich, 2011," Christian Deilmann, Johannes Schwarz, Leopold von Bismarck, Valentin Sawadski"," Clean Energy, Smart Building, Smart Home", 101-250," $157,482,651", 9, 15
75,Clark, Frankfurt, 2015," Chris Lodde, Christopher Oster, Garrett Whitmore, Marco Adelt, Steffen Glomb"," FinTech, Insurance, InsurTech", 251-500," $128,050,383", 5, 19
76,sennder, Berlin, 2015," David Nothacker, Julius Koehler, Nicolaus Schefenacker"," Freight Service, Industrial Automation, Logistics, Shipping", 501-1000," $340,000,000", 8, 17
77,Peace, Berlin, , , , 1-10," $6,160,789", , 
78,SellerX, Berlin, 2020," Malte Horeyseck, Philipp Triebel"," Asset Management, Business Development, Small and Medium Businesses", 101-250," $148,618,854", 2, 10
79,Blinkist, Berlin, 2012," Holger Seim, Niklas Jansen, Sebastian Klein, Tobias Balling"," Education, Mobile Apps, Reading Apps", 51-100," $34,771,978", 5, 7
80,xbAV, Munich, , , , 101-250," $54,367,662", , 
81,Omio, Berlin, 2012, Naren Shaam," Internet, Search Engine, Travel, Travel Accommodations", 251-500," $396,000,000", 10, 26
82,trivago, Düsseldorf, , , , 1001-5000," $54,997,173", , 
83,EqualTo, Freiburg, 2020," Diarmuid Glynn, Gijs Hubben, Kim Bergstrand"," Human Resources, Information Technology, SaaS, Sales, Sales Automation, Software", 11-50," € 4,530,000", 3, 9
84,Demodesk, Munich, , , , 1-10," $10,600,000", , 
85,BITA, Frankfurt, 2018," Christoph Bruck, Paul Herrera, Ruben Feldman, Victor Hugo Gomez Zerpa"," Finance, Financial Services, FinTech", 11-50," € 1,250,000", 3, 4
86,Dance, Berlin, 2020," Alexander Ljung, Christian Springub, Eric Quidenus-Wahlforss"," Consumer, Electric Vehicle, Internet, Subscription Service", 11-50," € 19,000,000", 3, 11
87,bookingkit, Berlin, , , , 101-250," $5,888,338", , 
88,Transporeon, Ulm, 2000," Leander Kling, Marc-Oliver Simon, Peter Forster"," Enterprise Software, Logistics, Supply Chain Management", 251-500," £35,000,000", 2, 2
89,Taxfix, Berlin, 2016," Lino Teuteberg, Mathis Buchi"," Accounting, Apps, Software", 251-500," $110,000,000", 4, 4
90,Nuri, Berlin, 2015," Benjamin Jones, Jan Goslicki, Jorg von Minckwitz"," Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech", 51-100," € 33,296,429", 7, 12
91,Bitwala, Berlin, , , , 51-100," $21,791,656", , 
92,Upvest, Berlin, 2017," Ivan Morozov, Jesper Noehr, Martin Kassing"," Banking, Financial Services, FinTech, Information Technology, Software", 11-50," € 17,700,000", 5, 8
93,Staffbase, Chemnitz, 2014," Frank Wolf, Lutz Gerlach, Martin Bohringer"," Business Information Systems, Collaboration, Human Resources, Information Technology", 251-500," $190,827,764", 6, 6
94,AMBOSS, Berlin, 2012," Benedikt Hochkirchen, Jan Sievert Weiss, Kenan Hasan, Madjid Salimi, Nawid Salimi"," E-Learning, Education, Health Care, Hospital, Medical, mHealth, Universities", 101-250," € 35,000,000", 4, 5
95,Uniper, Düsseldorf, , , , 10001," $4,500,000,000", , 
96,Tourlane, Berlin, 2016," Julian Stiefel, Julian Weselek"," Internet, Leisure, Reservations, Tourism, Travel", 251-500," $101,000,000", 5, 10
97,Wunder, Hamburg, 2014," Gunnar Froh, Samuel Baker"," Apps, B2B, Car Sharing, Electric Vehicle, Fleet Management, Ride Sharing, SaaS, Software", 101-250," $70,000,000", 5, 25
98,Centrifuge, Berlin, 2017," Lucas Vogelsang, Markus Ament, Martin Quensel, Philip Stehlik"," Computer, FinTech, Information Technology, Software", 11-50," $11,800,000", 4, 18
99,Searchmetrics, Berlin, , , , 251-500," $46,235,961", , 
100,Lingoda, Berlin, 2013," Fabian Wunderlich, Felix Wunderlich"," E-Learning, EdTech, Internet, Language Learning, Online Portals", 101-250," € 69,700,000", 9, 8
101,StudySmarter, München, 2017," Christian Felgenhauer, Maurice Khudhir, Simon Hohentanner, Till Sohlemann"," Artificial Intelligence, Education", 11-50," € 12,400,000", 4, 8
102,OptioPay, Berlin, 2014," Marcus Borner, Mike Rötgers, Moritz Claussen, Oliver Neumann, Oliver Oster"," Advertising Platforms, Banking, Financial Services, FinTech, Insurance, Personal Finance", 51-100," $26,398,223", 7, 18
103,Penta, Berlin, , , , 101-250," $44,712,827", , 
104,Stocard, Mannheim, 2012," Björn Goß, David Handlos, Florian Barth"," FinTech, Information Services, Information Technology, Internet, Mobile Apps", 51-100," $31,099,191", 5, 9
105,scoutbee, Berlin, 2015," Christian Heinrich, Fabian Heinrich, Gregor Stuhler, Lee Galbraith"," Analytics, Artificial Intelligence, B2B, Big Data, Information Technology, Logistics, Machine Learning, Procurement, SaaS, Software", 101-250," $76,000,000", 3, 6
106,cargo.one, Berlin, 2017," Mike Rötgers, Moritz Claussen, Oliver Neumann"," Freight Service, Information Technology, Logistics, Supply Chain Management", 101-250," $63,800,000", 3, 8
107,omnius, Berlin, , , , 51-100," $44,108,775", , 
108,Deposit, Hamburg, 2011, Tim Sievers," Banking, Financial Services, FinTech", 101-250," $198,871,072", 6, 11
109,PlusDental, Berlin, 2017," Lukas Brosseder, Peter Baumgart"," Dental, Health Care", 101-250," € 77,000,000", 6, 11
110,KONUX, Munich, 2014," Andreas Kunze, Dennis Humhal, Maximilian Hasler, Michael Wax, Vlad Lata"," Artificial Intelligence, Information Technology, Machine Learning, Railroad, Software", 51-100," $130,614,116", 10, 23
111,Asklepios, Hamburg, , , , 10001," $857,490,887", , 
112,Cosuno, Berlin, 2018," Christoph Berner, Fritz Cramer, Maximilian Seifert"," Construction, Software", 11-50," € 12,500,000", 2, 11
113,Tubulis, Munich, , , , 1-10," $13,824,063", , 
114,Spark, Berlin, , , , 251-500," $11,300,000", , 
115,CrossLend, Berlin, 2014, Oliver Schimek," Commercial Lending, Credit, Finance, Financial Services, FinTech, Marketplace", 101-250," € 49,000,000", 7, 10
116,Kontist, Berlin, 2016," Alexander Baatz, Catharina Bruns, Christopher Plantener, Madison Bell, Sebastian Galonska, Sophie Pester"," Accounting, Banking, Finance, Financial Services, Non Profit, Payments", 101-250," € 37,500,000", 4, 3
117,Fridai, Berlin, , , , 1-10," $298,330", , 
118,CHRONEXT, Cologne, 2013," Ludwig Wurlitzer, Philipp Man"," Collectibles, E-Commerce, Fashion, Lifestyle, Retail", 101-250," $116,629,212", 5, 17
119,heartbeat, Berlin, , , , 11-50," $9,426,813", , 
120,finn.auto, Munich, 2019," Andreas Wixler, Hans-Peter Ringer, Max-Josef Meier, Maximilian Wühr, Nikolai Schröder"," Automotive, Leasing", 11-50," € 28,800,000", 3, 8
121,Ascent, Düsseldorf, , , , 11-50," $26,745,000", , 
122,Moonfare, Berlin, 2016," Alexander Argyros, Heinrich von Liechtenstein, Steffen Pauls"," Asset Management, Financial Services, FinTech", 51-100," $28,000,000", 3, 5
123,Gorillas, Berlin, 2020," Jörg Kattner, Kağan Sümer, Ronny Shibley"," Delivery, Delivery Service, Grocery, Same Day Delivery", 1001-5000," $335,415,309", 3, 9
124,ELEMENT, Berlin, , , , 101-250," $43,747,104", , 
125,Huuuge, Berlin, 2014, Anton Gauffin," Gaming, Online Games, Social", 251-500," $57,199,998", 3, 4
126,Seven, Berlin, 2014," Johannes Plehn, Thomas Hagemann"," Delivery Service, E-Commerce, Logistics, Shipping, Supply Chain Management", 51-100," $65,798,537", 4, 6
127,Checkly, Berlin, , , , ," $2,250,000", , 
128,Lykon, Berlin, 2015, ," Health Care, Internet", 11-50," € 6,400,000", 2, 3
129,ResearchGate, Berlin, 2008," Horst Fickenscher, Ijad Madisch, Sören Hofmayer"," Internet, Professional Networking, Social Media", 251-500," $87,600,000", 4, 22
130,insha, Berlin, , , , 1-10," $3,236,836", , 
131,TIMIFY, Munich, , , , 11-50," $12,649,026", , 
132,Cleanhub, Berlin, 2020, Bosse Rothe," Fast-Moving Consumer Goods, Green Consumer Goods, Internet, Supply Chain Management", ," € 4,000,000", 1, 9
133,Westwing, Munich, , , , 1001-5000," $237,498,239", , 
134,Home24, Berlin, , , , 1001-5000," $172,712,063", , 
135,n8n.io, Berlin, 2019, , SaaS, 11-50," $13,500,000", 2, 11
136,Blacklane, Berlin, 2011," Frank Steuer, Jens Wohltorf"," Hospitality, Professional Services, Tourism, Transportation, Travel", 251-500," $102,967,714", 9, 11
137,Exporo, Hamburg, , , , 101-250," $66,292,169", , 
138,Toposens, Munich, , , , 11-50," $2,240,019", , 
139,ProGlove, Munich, 2014," Alexander Grots, Jonas Girardet, Manuel Boenisch, Paul Günther, Thomas Kirchner"," Automotive, Industrial, Logistics, Manufacturing, Supply Chain Management, Wearables", 101-250," $49,076,900", 6, 5
140,Clue, Berlin, 2012," Hans Raffauf, Ida Tin, Moritz von Buttlar"," Apps, Fertility, Fitness, Health Care, mHealth, Wellness, Women's", 101-250," $29,683,950", 7, 19
141,DABBEL, Düsseldorf, 2018, Abel Samaniego," Artificial Intelligence, Energy Efficiency, Internet of Things, Machine Learning, Smart Building", 1-10," € 3,600,000", 2, 4
142,Meditopia, Berlin, 2015," Ali Murat Ceylan, Berk Yilmaz, Fatih Mustafa Celebi"," Apps, Fitness, Health Care, mHealth, Personal Health, Wellness", 51-100," $18,160,000", 4, 11
143,Baze, Berlin, 2014," Crina Okumus, Isam Haddad, Jan Vichr, Markus Okumus, Philipp Schulte"," Beauty, Fitness, Health Care, Wellness", 11-50," $6,000,000", 3, 4
144,Endel, Berlin, 2018, Oleg Stavitsky," Mobile, Music, Personal Health, Productivity Tools, Smart Cities, Smart Home, Software Engineering", 1-10," $7,501,762", 5, 13
145,Jedox, Freiburg, 2002," Gabriele Raue, Kristian Raue"," Analytics, Cloud Computing, Enterprise Software, SaaS, Software", 101-250," $140,603,952", 6, 4
146,ESL, Cologne, 1996, William Perry," Electronics, eSports, Sports", 251-500," $30,000,000", 1, 
147,Metalshub, Düsseldorf, 2016," Frank Jackel, Sebastian Kreft"," Logistics, Mining, Software", 11-50," $14,429,825", 3, 6
148,Receeve, Hamburg, 2019," Michael Backes, Paul Jozefak"," Debt Collections, Financial Services, FinTech", 11-50," $19,094,510", 3, 5
149,Berlin, Berlin, 2005, Peter Chaljawski," Consumer Electronics, E-Commerce, Retail", 501-1000," $240,000,000", 1, 3
150,FinTecSystems, München, 2014," Dirk Rudolf, Stefan Krautkrämer"," Analytics, Banking, Finance, Financial Services, FinTech, Payments", 51-100," € 4,500,000", 3, 5
151,United, Montabaur, 2006, Ralph Dommermuth," Internet, ISP, Web Hosting", 5001-10000," € 450,000,000", 1, 1
152,UX3D, Munich, 2017," Norbert Nopper, Thomas Kress"," 3D Technology, Artificial Intelligence, Augmented Reality, Virtual Reality", 11-50," € 990,000", 4, 1
153,G2, Berlin, 2013," Carlos Rodríguez, Jens Hilgers"," Digital Entertainment, eSports, Sports, Video Games", 51-100," $27,300,000", 3, 13
154,NavVis, Munich, 2013," Felix Reinshagen, Georg Schroth, Robert Huitl, Sebastian Hilsenbeck"," Indoor Positioning, Information Technology, Location Based Services, Navigation, Software", 101-250," $68,248,577", 6, 9
155,Smava, Berlin, 2007," Alexander Artope, Eckart Vierkant"," Finance, Financial Services", 501-1000," $188,684,685", 7, 15
156,Rows, Berlin, 2016," Humberto Ayres Pereira, Rui Maranhao, Torben Schulz"," Internet, Productivity Tools, Software, Web Apps, Web Design, Web Development", 11-50," $25,000,000", 4, 7
157,Sono, Munich, 2016," Jona Christians, Laurin Hahn, Navina Pernsteiner"," Automotive, B2B, B2C, CleanTech, Electric Vehicle, Manufacturing, Mobile Apps, Solar, Transportation", 101-250," $126,588,253", 6, 7
158,Isotopen, Garching, 2004, Oliver Buck," Biopharma, Biotechnology, Medical Device, Pharmaceutical", 1-10," € 175,000,000", 4, 5
159,EGYM, Munich, 2010," Florian Sauter, Philipp Roesch-Schlanderer"," Fitness, Sports, Wellness", 251-500," $143,471,520", 6, 7
160,Global, Munich, 2012," Adrian Renner, Andreas Fruth, Gerhard Trautmann, Pedro Clavería"," Content Delivery Network, Content Discovery, E-Commerce, Internet, Publishing", 501-1000," € 65,500,000", 9, 7
161,AMSilk, Planegg, 2008, Lin Römer, Biotechnology, 11-50," € 34,000,000", 3, 5
162,Resourcify, Hamburg, 2015, Gary Lewis," Renewable Energy, Software, Waste Management", 1-10," € 4,000,000", 2, 3
163,Mia, Berlin, , , , 11-50," $5,387,460", , 
164,HiveMQ, Landshut, 2012," Christian Götz, Dominik Obermaier"," Enterprise Software, Information Technology, Internet of Things, Software", 11-50," € 9,300,000", 1, 6
165,Sympatient, Hamburg, , , , 11-50," $1,773,360", , 
166,Productsup, Berlin, 2010," Johannis Hatt, Kai Seefeldt"," Cloud Data Services, Content Syndication, Data Integration, Digital Marketing, E-Commerce, E-Commerce Platforms, Information Technology, Marketing, Marketing Automation, Retail Technology, SaaS, Software", 101-250," $20,000,000", 3, 6
167,Neufund, Berlin, , , , 11-50," $6,081,578", , 
168,Tillhub, Berlin, , , , 11-50," $8,219,541", , 
169,ottonova, Munich, 2015," Frank Birzle, Roman Rittweger, Sebastian Scheerer"," Health Care, Health Insurance, Insurance", 101-250," € 85,000,000", 4, 6
170,Building, Munich, 2014," Artem Ostankov, Leopold Neuerburg, Paul Indinger, Raoul Friedrich"," Artificial Intelligence, Big Data, Construction, Lead Generation", 11-50," € 5,000,000", 6, 10
171,Planetly, Berlin, 2019, Benedikt Franke," Environmental Consulting, Information Technology", 1-10," € 5,200,000", 2, 5
172,Coya, Berlin, 2016," Andrew Shaw, Peter Hagen, Sebastian Villarroel"," Artificial Intelligence, FinTech, Insurance, InsurTech, Internet", 101-250," $40,000,000", 2, 4
173,Fyber, Berlin, , , , 251-500," $129,490,000", , 
174,payever, Hamburg, , , , 11-50," $810,093", , 
175,Topas, Hamburg, , , , 51-100," $46,257,377", , 
176,Air, Munich, 2018, ," Food and Beverage, Sustainability", 51-100," € 18,000,000", 4, 7
177,Zenjob, Berlin, 2015," Cihan Aksakal, Frederik Fahning, Fritz Trott, Stephan von Perger"," Employment, Human Resources, Recruiting, Staffing Agency", 101-250," € 50,600,000", 6, 7
178,Flow, Berlin, 2018," David Jacob, Jonas Vossler Winkelmann, Peter Schwarz"," Fitness, Lifestyle, Mobile Apps, Personal Health, Psychology, Wellness", 1-10," € 1,240,000", 3, 3
179,Helpling, Berlin, 2014," Alberto Cartasegna, Alexandra Depledge, Benedikt Franke, Kai Koch, Manar Alkassar, Philip Huffmann, Yeenteck Hoe"," Apps, Home Services, Internet, Marketplace, Real Estate", 101-250," $95,048,939", 6, 12
180,ZOLAR, Berlin, , , , 51-100," $33,569,057", , 
181,Senorics, Dresden, 2017," Karl Leo, Ronny Timmreck"," Big Data, Internet of Things, Semiconductor, Sensor", 11-50," € 10,300,000", 3, 5
182,Modifi, Berlin, 2018," Jan Wehrs, Nelson Holzner, Sven Brauer"," Financial Services, FinTech", 11-50," $69,599,121", 3, 4
183,DeepSpin, Berlin, , , , 1-10," $674,024", , 
184,Mister, Berlin, 2007," Bjoern Sykora, Dirk Graber, Lukasz Gadowski, Philipp Frenkel, Thilo Hardt"," E-Commerce, Eyewear, Internet, Retail, Shopping", 251-500," $158,009,427", 10, 18
185,Cluno, Munich, 2017," Andreas Schuierer, Christina Maria Polleti, Nico Polleti"," Automotive, E-Commerce, Rental, Service Industry, Subscription Service", 51-100," $190,190,965", 4, 3
186,shyftplan, Berlin, 2013," Jan-Martin Josten, John Nitschke"," Human Resources, SaaS, Scheduling, Software", 11-50," € 11,450,000", 3, 5
187,peaq, Berlin, , , , 11-50," $878,062", , 
188,FRIDAY, Berlin, 2017," Christoph Samwer, Florian Eismann"," Finance, Insurance, InsurTech", 101-250," € 114,000,000", 1, 3
